"Visitor","choice1","choice2","choice3","choice4","choice5"
"V001","Tour01","Tour24","Tour09","Tour03","Tour12"
"V002","Tour26","Tour03","Tour04","Tour09","Tour01"
"V003","Tour24","Tour21","Tour20","Tour01","Tour27"
"V004","Tour21","Tour24","Tour04","Tour12","Tour20"
"V005","Tour16","Tour26","Tour01","Tour09","Tour03"
"V006","Tour16","Tour22","Tour02","Tour10","Tour30"
"V007","Tour06","Tour15","Tour10","Tour07","Tour20"
"V008","Tour16","Tour27","Tour25","Tour22","Tour08"
"V009","Tour26","Tour20","Tour03","Tour22","Tour02"
"V010","Tour04","Tour03","Tour23","Tour01","Tour20"
"V011","Tour07","Tour16","Tour12","Tour01","Tour26"
"V012","Tour14","Tour17","Tour06","Tour16","Tour18"
"V013","Tour23","Tour03","Tour09","Tour19","Tour04"
"V014","Tour03","Tour04","Tour09","Tour19","Tour23"
"V015","Tour10","Tour09","Tour17","Tour07","Tour27"
"V016","Tour06","Tour17","Tour04","Tour10","Tour27"
"V017","Tour28","Tour27","Tour02","Tour26","Tour03"
"V018","Tour17","Tour14","Tour25","Tour16","Tour02"
"V019","Tour28","Tour24","Tour16","Tour27","Tour10"
"V020","Tour06","Tour07","Tour27","Tour26","Tour22"
"V021","Tour12","Tour09","Tour03","Tour19","Tour20"
"V022","Tour04","Tour03","Tour19","Tour12","Tour20"
"V023","Tour24","Tour09","Tour01","Tour20","Tour12"
"V024","Tour28","Tour24","Tour26","Tour01","Tour07"
"V025","Tour24","Tour03","Tour20","Tour01","Tour27"
"V026","Tour14","Tour17","Tour26","Tour06","Tour16"
"V027","Tour26","Tour28","Tour04","Tour15","Tour27"
"V028","Tour27","Tour25","Tour16","Tour08","Tour26"
"V029","Tour28","Tour06","Tour24","Tour17","Tour07"
"V030","Tour01","Tour27","Tour03","Tour12","Tour16"
"V031","Tour08","Tour27","Tour01","Tour26","Tour19"
"V032","Tour07","Tour15","Tour18","Tour10","Tour29"
"V033","Tour16","Tour06","Tour09","Tour14","Tour17"
"V034","Tour26","Tour15","Tour27","Tour02","Tour10"
"V035","Tour29","Tour04","Tour28","Tour03","Tour23"
"V036","Tour10","Tour11","Tour26","Tour27","Tour16"
"V037","Tour23","Tour04","Tour26","Tour24","Tour14"
"V038","Tour03","Tour01","Tour23","Tour08","Tour26"
"V039","Tour14","Tour16","Tour17","Tour28","Tour26"
"V040","Tour30","Tour09","Tour10","Tour12","Tour03"
"V041","Tour12","Tour20","Tour06","Tour14","Tour30"
"V042","Tour27","Tour16","Tour26","Tour25","Tour20"
"V043","Tour09","Tour19","Tour21","Tour03","Tour04"
"V044","Tour23","Tour04","Tour13","Tour08","Tour09"
"V045","Tour28","Tour24","Tour18","Tour10","Tour03"
"V046","Tour03","Tour04","Tour09","Tour15","Tour23"
"V047","Tour06","Tour16","Tour14","Tour13","Tour25"
"V048","Tour01","Tour04","Tour09","Tour23","Tour19"
"V049","Tour24","Tour01","Tour07","Tour09","Tour30"
"V050","Tour26","Tour27","Tour08","Tour30","Tour22"
"V051","Tour01","Tour03","Tour12","Tour26","Tour06"
"V052","Tour04","Tour03","Tour20","Tour01","Tour19"
"V053","Tour20","Tour16","Tour09","Tour04","Tour08"
"V054","Tour28","Tour04","Tour03","Tour09","Tour19"
"V055","Tour01","Tour03","Tour04","Tour09","Tour21"
"V056","Tour01","Tour03","Tour12","Tour09","Tour24"
"V057","Tour04","Tour03","Tour21","Tour26","Tour20"
"V058","Tour16","Tour25","Tour14","Tour06","Tour18"
"V059","Tour16","Tour25","Tour06","Tour09","Tour04"
"V060","Tour15","Tour30","Tour26","Tour02","Tour09"
"V061","Tour01","Tour16","Tour03","Tour25","Tour27"
"V062","Tour16","Tour06","Tour27","Tour25","Tour28"
"V063","Tour12","Tour03","Tour09","Tour19","Tour23"
"V064","Tour01","Tour09","Tour03","Tour12","Tour20"
"V065","Tour30","Tour02","Tour27","Tour22","Tour23"
"V066","Tour04","Tour03","Tour09","Tour01","Tour12"
"V067","Tour03","Tour04","Tour09","Tour01","Tour27"
"V068","Tour28","Tour17","Tour16","Tour04","Tour18"
"V069","Tour16","Tour03","Tour26","Tour14","Tour29"
"V070","Tour27","Tour16","Tour26","Tour09","Tour29"
"V071","Tour04","Tour06","Tour23","Tour21","Tour15"
"V072","Tour16","Tour14","Tour27","Tour26","Tour15"
"V073","Tour03","Tour09","Tour04","Tour26","Tour28"
"V074","Tour30","Tour09","Tour03","Tour19","Tour02"
"V075","Tour23","Tour04","Tour26","Tour27","Tour09"
"V076","Tour16","Tour26","Tour22","Tour27","Tour10"
"V077","Tour19","Tour30","Tour28","Tour04","Tour16"
"V078","Tour01","Tour19","Tour21","Tour03","Tour12"
"V079","Tour01","Tour24","Tour20","Tour12","Tour03"
"V080","Tour04","Tour23","Tour26","Tour03","Tour20"
"V081","Tour21","Tour04","Tour23","Tour01","Tour03"
"V082","Tour03","Tour21","Tour04","Tour19","Tour09"
"V083","Tour25","Tour16","Tour22","Tour23","Tour04"
"V084","Tour26","Tour09","Tour20","Tour19","Tour25"
"V085","Tour14","Tour09","Tour02","Tour16","Tour03"
"V086","Tour16","Tour26","Tour08","Tour12","Tour22"
"V087","Tour09","Tour03","Tour19","Tour06","Tour14"
"V088","Tour03","Tour30","Tour19","Tour01","Tour12"
"V089","Tour16","Tour04","Tour27","Tour09","Tour28"
"V090","Tour16","Tour06","Tour10","Tour26","Tour25"
"V091","Tour26","Tour23","Tour06","Tour01","Tour03"
"V092","Tour01","Tour27","Tour04","Tour26","Tour25"
"V093","Tour09","Tour03","Tour21","Tour01","Tour12"
"V094","Tour20","Tour24","Tour03","Tour09","Tour12"
"V095","Tour02","Tour11","Tour15","Tour10","Tour22"
"V096","Tour25","Tour16","Tour22","Tour04","Tour06"
"V097","Tour03","Tour09","Tour12","Tour28","Tour01"
"V098","Tour30","Tour20","Tour19","Tour11","Tour01"
"V099","Tour11","Tour10","Tour13","Tour02","Tour23"
"V100","Tour19","Tour30","Tour09","Tour03","Tour04"
"V101","Tour01","Tour12","Tour09","Tour28","Tour26"
"V102","Tour14","Tour17","Tour06","Tour16","Tour26"
"V103","Tour16","Tour27","Tour14","Tour15","Tour25"
"V104","Tour07","Tour29","Tour09","Tour18","Tour27"
"V105","Tour24","Tour21","Tour28","Tour01","Tour30"
"V106","Tour02","Tour01","Tour03","Tour16","Tour30"
"V107","Tour04","Tour03","Tour21","Tour23","Tour12"
"V108","Tour01","Tour09","Tour24","Tour12","Tour03"
"V109","Tour24","Tour28","Tour26","Tour12","Tour27"
"V110","Tour01","Tour19","Tour26","Tour28","Tour24"
"V111","Tour07","Tour26","Tour16","Tour01","Tour10"
"V112","Tour23","Tour04","Tour13","Tour03","Tour19"
"V113","Tour09","Tour21","Tour01","Tour03","Tour15"
"V114","Tour12","Tour20","Tour24","Tour01","Tour03"
"V115","Tour08","Tour15","Tour26","Tour06","Tour18"
"V116","Tour16","Tour15","Tour25","Tour27",NA
"V117","Tour16","Tour27","Tour21","Tour28","Tour26"
"V118","Tour24","Tour10","Tour28","Tour01","Tour30"
"V119","Tour26","Tour27","Tour01","Tour24","Tour18"
"V120","Tour16","Tour26","Tour25","Tour06","Tour27"
"V121","Tour03","Tour04","Tour10","Tour28","Tour25"
"V122","Tour30","Tour19","Tour09","Tour03","Tour01"
"V123","Tour12","Tour20","Tour24","Tour09","Tour04"
"V124","Tour23","Tour04","Tour11","Tour09","Tour03"
"V125","Tour03","Tour19","Tour04","Tour09","Tour12"
"V126","Tour12","Tour01","Tour24","Tour03","Tour20"
"V127","Tour09","Tour04","Tour03","Tour12","Tour01"
"V128","Tour24","Tour01","Tour28","Tour16","Tour14"
"V129","Tour15","Tour08","Tour10","Tour16","Tour25"
"V130","Tour28","Tour17","Tour14","Tour16","Tour24"
"V131","Tour04","Tour09","Tour23","Tour20","Tour28"
"V132","Tour20","Tour19","Tour12","Tour03","Tour21"
"V133","Tour28","Tour24","Tour26","Tour27","Tour12"
"V134","Tour06","Tour13","Tour23","Tour10","Tour14"
"V135","Tour03","Tour20","Tour24","Tour01","Tour04"
"V136","Tour10","Tour11","Tour16","Tour15","Tour19"
"V137","Tour01","Tour03","Tour09","Tour20","Tour21"
"V138","Tour01","Tour03","Tour19","Tour12","Tour04"
"V139","Tour19","Tour01","Tour04","Tour12","Tour23"
"V140","Tour07","Tour15","Tour27","Tour28","Tour18"
"V141","Tour09","Tour03","Tour04","Tour19","Tour23"
"V142","Tour04","Tour03","Tour09","Tour12","Tour19"
"V143","Tour15","Tour30","Tour26","Tour18","Tour04"
"V144","Tour30","Tour10","Tour19","Tour04","Tour23"
"V145","Tour29","Tour14","Tour07","Tour18","Tour06"
"V146","Tour14","Tour26","Tour15","Tour09","Tour27"
"V147","Tour17","Tour06","Tour04","Tour23","Tour10"
"V148","Tour03","Tour10","Tour30","Tour11","Tour24"
"V149","Tour26","Tour18","Tour23","Tour15","Tour08"
"V150","Tour09","Tour28","Tour01","Tour24","Tour23"
"V151","Tour01","Tour23","Tour09","Tour19","Tour03"
"V152","Tour28","Tour09","Tour01","Tour24","Tour30"
"V153","Tour30","Tour09","Tour21","Tour03","Tour02"
"V154","Tour26","Tour25","Tour22","Tour04","Tour07"
"V155","Tour26","Tour29","Tour09","Tour22","Tour30"
"V156","Tour06","Tour23","Tour14","Tour16","Tour26"
"V157","Tour20","Tour21","Tour12","Tour16","Tour13"
"V158","Tour01","Tour30","Tour02","Tour20","Tour12"
"V159","Tour11","Tour02","Tour10","Tour30","Tour22"
"V160","Tour01","Tour03","Tour19","Tour26","Tour12"
"V161","Tour01","Tour03","Tour19","Tour23","Tour24"
"V162","Tour23","Tour13","Tour26","Tour27","Tour04"
"V163","Tour16","Tour26","Tour04","Tour12","Tour24"
"V164","Tour23","Tour04","Tour28","Tour15","Tour03"
"V165","Tour23","Tour09","Tour21","Tour27","Tour29"
"V166","Tour16","Tour18","Tour04","Tour27","Tour29"
"V167","Tour27","Tour07","Tour15","Tour26","Tour01"
"V168","Tour04","Tour03","Tour19","Tour01","Tour22"
"V169","Tour16","Tour17","Tour18","Tour06","Tour25"
"V170","Tour04","Tour23","Tour03","Tour19","Tour24"
"V171","Tour03","Tour16","Tour19","Tour27","Tour25"
"V172","Tour01","Tour03","Tour20","Tour12","Tour26"
"V173","Tour09","Tour03","Tour01","Tour12","Tour24"
"V174","Tour17","Tour22","Tour16","Tour01","Tour14"
"V175","Tour28","Tour30","Tour09","Tour26","Tour03"
"V176","Tour01","Tour03","Tour20","Tour12","Tour26"
"V177","Tour16","Tour15","Tour14","Tour25","Tour18"
"V178","Tour10","Tour15","Tour04","Tour07","Tour08"
"V179","Tour12","Tour20","Tour24","Tour09","Tour04"
"V180","Tour24","Tour16","Tour26","Tour28","Tour09"
"V181","Tour12","Tour24","Tour20","Tour03","Tour22"
"V182","Tour17","Tour20","Tour06","Tour14","Tour04"
"V183","Tour20","Tour12","Tour04","Tour09","Tour19"
"V184","Tour01","Tour24","Tour09","Tour03","Tour16"
"V185","Tour15","Tour26","Tour13","Tour29","Tour23"
"V186","Tour24","Tour26","Tour09","Tour20","Tour19"
"V187","Tour01","Tour03","Tour09","Tour24","Tour19"
"V188","Tour04","Tour23","Tour06","Tour16","Tour28"
"V189","Tour24","Tour12","Tour01","Tour09","Tour28"
"V190","Tour09","Tour01","Tour19","Tour26","Tour03"
"V191","Tour12","Tour09","Tour24","Tour03","Tour23"
"V192","Tour03","Tour16","Tour09","Tour25","Tour23"
"V193","Tour04","Tour21","Tour10","Tour03","Tour09"
